PV,Tem
0,-1.95
0,-3.49
0,-4.96
0,-5.81
0,-5.37
0,-4.69
0,-4.86
19.95,-3.48
44.4,-3.63
114.78,-4.07
156.52,-3.75
387.23,-2.77
175.1,-1.98
185.15,-1.94
101.85,-2.42
52.83,-3.11
15.77,-3.99
0,-4.79
0,-5.36
0,-5.68
0,-5.97
0,-6.03
0,-6.11
0,-6.26
0,-6.46
0,-6.6
0,-6.78
0,-6.98
0,-7.24
0,-7.5
0,-7.73
38.78,-7.32
144.12,-6.3
246.18,-5.4
376.58,-4.7
390.55,-4.28
470.88,-4.19
338.33,-4.14
258.6,-4.24
148.55,-4.64
45.8,-6.45
0,-7.89
0,-8.01
0,-8.17
0,-8.75
0,-9.25
0,-9.54
0,-9.73
0,-9.73
0,-9.69
0,-9.86
0,-9.92
0,-9.86
0,-9.81
0,-9.88
51.67,-8.97
160.25,-6.61
236.75,-5.02
321.95,-3.73
364.67,-3.04
400.02,-2.89
319.73,-3.09
225.38,-3.49
158.23,-4.33
40.9,-6.27
0,-7.64
0,-8.1
0,-7.74
0,-7.47
0,-7.41
0,-7.24
0,-7.21
0,-7.43
0,-7.68
0,-7.72
0,-7.37
0,-6.87
0,-6.43
0,-6.06
21.67,-5.45
104.3,-4.25
192.57,-3.16
251.27,-2.18
262.95,-1.52
297.33,-1.49
286.67,-1.81
201.9,-2.49
130.85,-3.68
35.8,-5.45
0,-6.46
0,-7.15
0,-7.6
0,-7.86
0,-8.07
0,-8.26
0,-8.37
0,-8.69
0,-9.24
0,-9.75
0,-10.32
0,-10.9
0,-11.29
0,-11.95
72.2,-11.84
232.1,-10.11
371.02,-8.59
379.02,-7.66
526.4,-6.95
484.67,-6.49
410.73,-6.36
363.85,-6.71
221.95,-7.85
72.6,-10.45
0,-12.32
0,-13.25
0,-14.05
0,-14.8
0,-15.34
0,-15.6
0,-15.73
0,-15.84
0,-15.95
0,-16.11
0,-16.31
0,-16.48
0,-16.58
0,-16.55
87.15,-15.09
275.33,-12.37
414.17,-9.91
534.22,-8.58
421.15,-7.65
472.4,-7.15
512.9,-6.96
397.75,-7.17
255.68,-8.01
91.2,-10.33
0,-12.76
0,-13.56
0,-14.14
0,-14.34
0,-14.1
0,-13.96
0,-13.95
0,-14.08
0,-14.38
0,-14.78
0,-15.23
0,-15.47
0,-15.46
0,-15.38
99.82,-14.29
281.85,-11.53
427.33,-9.29
484.8,-8.02
538.6,-7.31
584.7,-6.95
471.3,-6.93
398.15,-7.21
265.58,-7.93
87.8,-9.65
0,-11.05
0,-11.47
0,-11.65
0,-11.82
0,-11.75
0,-11.53
0,-11.22
0,-11.23
0,-11.61
0,-12.07
0,-12.19
0,-12
0,-11.78
0,-11.79
45.45,-11.18
184.48,-9.85
290.67,-8.63
337.75,-7.55
460.75,-6.91
459.88,-6.38
513.65,-6.09
399.38,-6.42
256.12,-7.26
90.03,-9.56
0,-11.79
0,-12.72
0,-13.78
0,-14.2
0,-14.33
0,-14.51
0,-14.91
0,-15.53
0,-15.9
